t,T
13870,300.021
13880,300.021
13890,300.021
13900,300.022
13910,300.022
13920,300.022
13930,300.022
13940,300.023
13950,300.023
13960,300.023
13970,300.023
13980,300.023
13990,300.024
14000,300.024
14010,300.024
14020,300.024
14030,300.025
14040,300.025
14050,300.025
14060,300.025
14070,300.026
14080,300.026
14090,300.026
14100,300.026
14110,300.027
14120,300.027
14130,300.027
14140,300.028
14150,300.028
14160,300.028
14170,300.028
14180,300.029
14190,300.029
14200,300.029
14210,300.03
14220,300.03
14230,300.03
14240,300.03
14250,300.031
14260,300.031
14270,300.031
14280,300.032
14290,300.032
14300,300.032
14310,300.032
14320,300.033
14330,300.033
14340,300.033
14350,300.034
14360,300.034
14370,300.034
14380,300.035
14390,300.035
14400,300.035
14410,300.036
14420,300.036
14430,300.036
14440,300.037
14450,300.037
14460,300.037
14470,300.038
14480,300.038
14490,300.038
14500,300.039
14510,300.039
14520,300.039
14530,300.04
14540,300.04
14550,300.041
14560,300.041
14570,300.041
14580,300.042
14590,300.042
14600,300.042
14610,300.043
14620,300.043
14630,300.044
14640,300.044
14650,300.044
14660,300.045
14670,300.045
14680,300.046
14690,300.046
14700,300.046
14710,300.047
14720,300.047
14730,300.048
14740,300.048
14750,300.048
14760,300.049
14770,300.049
14780,300.05
14790,300.05
14800,300.051
14810,300.051
14820,300.052
14830,300.052
14840,300.052
14850,300.053
14860,300.053
14870,300.054
14880,300.054
14890,300.055
14900,300.055
14910,300.056
14920,300.056
14930,300.057
14940,300.057
14950,300.058
14960,300.058
14970,300.059
14980,300.059
14990,300.06
15000,300.06
15010,300.061
15020,300.061
15030,300.062
15040,300.062
15050,300.063
15060,300.063
15070,300.064
15080,300.064
15090,300.065
15100,300.065
15110,300.066
15120,300.066
15130,300.067
15140,300.068
15150,300.068
15160,300.069
15170,300.069
15180,300.07
15190,300.07
15200,300.071
15210,300.072
15220,300.072
15230,300.073
15240,300.073
15250,300.074
15260,300.075
15270,300.075
15280,300.076
15290,300.076
15300,300.077
15310,300.078
15320,300.078
15330,300.079
15340,300.08
15350,300.08
15360,300.081
15370,300.082
15380,300.082
15390,300.083
15400,300.084
15410,300.084
15420,300.085
15430,300.086
15440,300.086
15450,300.087
15460,300.088
15470,300.088
15480,300.089
15490,300.09
15500,300.091
15510,300.091
15520,300.092
15530,300.093
15540,300.093
15550,300.094
15560,300.095
15570,300.096
15580,300.096
15590,300.097
15600,300.098
15610,300.099
15620,300.1
15630,300.1
15640,300.101
15650,300.102
15660,300.103
15670,300.104
15680,300.104
15690,300.105
15700,300.106
15710,300.107
15720,300.108
15730,300.109
15740,300.109
15750,300.11
15760,300.111
15770,300.112
15780,300.113
15790,300.114
15800,300.115
15810,300.115
15820,300.116
15830,300.117
15840,300.118
15850,300.119
15860,300.12
15870,300.121
15880,300.122
15890,300.123
15900,300.124
15910,300.125
15920,300.126
15930,300.127
15940,300.128
15950,300.129
15960,300.13
15970,300.131
15980,300.132
15990,300.133
16000,300.134
16010,300.135
16020,300.136
16030,300.137
16040,300.138
16050,300.139
16060,300.14
16070,300.141
16080,300.142
16090,300.143
16100,300.144
16110,300.145
16120,300.146
16130,300.147
16140,300.148
16150,300.15
16160,300.151
16170,300.152
16180,300.153
16190,300.154
16200,300.155
16210,300.156
16220,300.158
16230,300.159
16240,300.16
16250,300.161
16260,300.162
16270,300.164
16280,300.165
16290,300.166
16300,300.167
16310,300.168
16320,300.17
16330,300.171
16340,300.172
16350,300.174
16360,300.175
16370,300.176
16380,300.177
16390,300.179
16400,300.18
16410,300.181
16420,300.183
16430,300.184
16440,300.185
16450,300.187
16460,300.188
16470,300.189
16480,300.191
16490,300.192
16500,300.194
16510,300.195
16520,300.197
16530,300.198
16540,300.199
16550,300.201
16560,300.202
16570,300.204
16580,300.205
16590,300.207
16600,300.208
16610,300.21
16620,300.211
16630,300.213
16640,300.214
16650,300.216
16660,300.217
16670,300.219
16680,300.221
16690,300.222
16700,300.224
16710,300.225
16720,300.227
16730,300.229
16740,300.23
16750,300.232
16760,300.234
16770,300.235
16780,300.237
16790,300.239
16800,300.24
16810,300.242
16820,300.244
16830,300.245
16840,300.247
16850,300.249
16860,300.251
16870,300.253
16880,300.254
16890,300.256
16900,300.258
16910,300.26
16920,300.262
16930,300.263
16940,300.265
16950,300.267
16960,300.269
16970,300.271
16980,300.273
16990,300.275
17000,300.277
